id,genetics,species,finalCultivar,synonym,isConfirmed,use,country,genotypes,tree_tag_id,propertyOwner,treeSiteLocation,treeLatitude,treeLongitude,treeHeight,treeDripLine,trunkDiameter,fireBlight,fruitHanging
581,NA,NA,NA,NA,NA,NA,NA,NA,581,private ,3600 Caddo Pkwy,39.9966,-105.2478,20,52,24.25,1,101-1000
582,NA,NA,NA,NA,NA,NA,NA,NA,582,NA,3600 Caddo Pkwy,39.9966,-105.2478,NA,NA,NA,NA,NA
583,NA,NA,NA,NA,C,NA,NA,NA,583,private,2190 Linden Ave,40.0406,-105.2687,22,12.167,6.5,1,101-1000
584,Malus,domestica,Pepin Litovskit,"Pepin Litovskii?, Glogerovka",NA,NA,Russia,1774,584,private,2620 Iliff ,39.987,-105.2594,22,33.167,19.21875,0,3-10
585,NA,NA,NA,NA,NA,NA,NA,NA,585,private,2640 Iliff,39.9704,-105.2589,25,19,16.625,0,3-10
596,Malus,domestica,Delicious,"Cervena prevazhodna, Delicious rosso, Hawkeye, Piros Delicious, Stark Delicious",NA,dessert,United States,2947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
597,Malus,domestica,Winesap,NA,NA,NA,NA,32541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
616,NA,NA,NA,NA,NA,NA,NA,NA,619,private,"7455 N. 77th St. Niwot, CO 80503",40.109326,-105.172214,25,12,21,0,NA
619,Malus,hybrid,Centennial / UNK-UW_936,NA,NA,NA,United States,2755,619,private,"7455 N. 77th St. Niwot, CO 80503",40.1009373,-105.172158,25,13,20,0,NA
621,Malus,domestica,Salome,NA,NA,dessert,United States,3097,NA,NA,NA,NA,NA,,,,,
622,Malus,domestica,Ben Davis,"New York Pippin, Kentucky Red",NA,"dessert, cider",United States,3136,NA,NA,NA,NA,NA,,,,,
623,Malus,domestica,McIntosh Summerland Red,NA,NA,cider,Canada,2968,623,Private,"Front yard of 3021 14th St, Boulder, neighbor of Eric Johnson",40.031308,-105.277581,,,,,
624,NA,NA,NA,NA,NA,NA,NA,NA,624,Public,"cabin 19 kinnickink drive, w side of road, on S side of yard",39.996763,-105.282361,,,,,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290 Cactus (back yard),40.0405248,-105.2929436,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,290 Cactus (back yard),40.042972,-105.2959905,NA,NA,NA,NA,NA
